obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""102.0757""","=""0.0009""","=""102.074462""","=""0.000003""","=""2500""","=""2.8e+07""",D,"=""0.00000000""","=""12.1464464""","=""3d8""","=""a 3F""","=""4""","=""3d7.(4F).5p""","=""3F*""","=""3""",9,7,,"=""T6999""","=""L4687c119""",
"=""103.1560""","=""0.0012""","=""103.154325""","=""0.000004""","=""540D""","=""4.e+06""",E,"=""0.00000000""","=""12.01929228""","=""3d8""","=""a 3F""","=""4""","=""3d7.(4F).5p""","=""5G*""","=""5""",9,11,,"=""T6999""","=""L4687c119""",
"=""103.2185""","=""0.0012""","=""103.218018""","=""0.000007""","=""540""","=""1.3e+06""",E,"=""0.00000000""","=""12.01187555""","=""3d8""","=""a 3F""","=""4""","=""3d7.(4F).5p""","=""5G*""","=""4""",9,9,,"=""T6999""","=""L4687c119""",
"=""103.4229""","=""0.0009""","=""103.422838""","=""0.000003""","=""1600""","=""4.6e+07""",D,"=""0.19802719""","=""12.1861143""","=""3d8""","=""a 3F""","=""2""","=""3d7.(4F).5p""","=""3F*""","=""2""",5,5,,"=""T6999""","=""L4687c119""",
"=""103.4334""","=""0.0012""","=""103.432546""","=""0.000005""","=""380""","=""1.5e+06""",E,"=""0.19802719""","=""12.1849891""","=""3d8""","=""a 3F""","=""2""","=""3d7.(4F).5p""","=""3G*""","=""3""",5,7,,"=""T6999""","=""L4687c119""",
"=""103.5778""","=""0.0009""","=""103.577458""","=""0.000006""","=""1700""","=""2.1e+07""",D,"=""0.11782516""","=""12.0880165""","=""3d8""","=""a 3F""","=""3""","=""3d7.(4F).5p""","=""3D*""","=""3""",7,7,,"=""T6999""","=""L4687c119""",
"=""104.0452""","=""0.0012""","=""104.044718""","=""0.000003""","=""570""","=""4.e+06""",E,"=""0.11782516""","=""12.03425891""","=""3d8""","=""a 3F""","=""3""","=""3d7.(4F).5p""","=""3F*""","=""4""",7,9,,"=""T6999""","=""L4687c119""",
"=""104.1917""","=""0.0012""","=""104.192086""","=""0.000005""","=""580""","=""5.e+06""",E,"=""0.00000000""","=""11.8995792""","=""3d8""","=""a 3F""","=""4""","=""3d7.(4F).5p""","=""5F*""","=""4""",9,9,,"=""T6999""","=""L4687c119""",
"=""105.2333""","=""0.0009""","=""105.234075""","=""0.000009""","=""1200""","=""""",,"=""0.11782516""","=""11.8995792""","=""3d8""","=""a 3F""","=""3""","=""3d7.(4F).5p""","=""5F*""","=""4""",7,9,,"=""""","=""L4687c119""",
"=""107.0594""","=""0.0012""","=""107.058463""","=""0.000003""","=""690""","=""""",,"=""0.56546577""","=""12.1464464""","=""3d7.(4F).4s""","=""a 5F""","=""3""","=""3d7.(4F).5p""","=""3F*""","=""3""",7,7,,"=""""","=""L4687c119""",
"=""107.1477""","=""0.0012""","=""107.148402""","=""0.000006""","=""690""","=""3.1e+06""",E,"=""0.61372947""","=""12.1849891""","=""3d7.(4F).4s""","=""a 5F""","=""2""","=""3d7.(4F).5p""","=""3G*""","=""3""",5,7,,"=""T6999""","=""L4687c119""",
"=""107.4488""","=""0.0012""","=""107.448727""","=""0.000006""","=""490""","=""""",,"=""0.56546577""","=""12.1043831""","=""3d7.(4F).4s""","=""a 5F""","=""3""","=""3d7.(4F).5p""","=""5G*""","=""2""",7,5,,"=""""","=""L4687c119""",
"=""107.6274""","=""0.0009""","=""107.627401""","=""0.000005""","=""3500""","=""8.e+06""",D,"=""0.49953085""","=""12.01929228""","=""3d7.(4F).4s""","=""a 5F""","=""4""","=""3d7.(4F).5p""","=""5G*""","=""5""",9,11,,"=""T6999""","=""L4687c119""",
"=""107.6975""","=""0.0012""","=""107.696739""","=""0.000007""","=""500""","=""""",,"=""0.49953085""","=""12.01187555""","=""3d7.(4F).4s""","=""a 5F""","=""4""","=""3d7.(4F).5p""","=""5G*""","=""4""",9,9,,"=""""","=""L4687c119""",
"=""107.9006""","=""0.0012""","=""107.900040""","=""0.000005""","=""500""","=""2.3e+06""",E,"=""0.61372947""","=""12.1043831""","=""3d7.(4F).4s""","=""a 5F""","=""2""","=""3d7.(4F).5p""","=""5G*""","=""2""",5,5,,"=""T6999""","=""L4687c119""",
"=""107.9348""","=""0.0009""","=""107.935131""","=""0.000012""","=""7200""","=""1.2e+07""",D,"=""0.41540831""","=""11.90232621""","=""3d7.(4F).4s""","=""a 5F""","=""5""","=""3d7.(4F).5p""","=""5G*""","=""6""",11,13,,"=""T6999""","=""L4687c119""",
"=""108.1978""","=""0.0009""","=""108.197314""","=""0.000005""","=""3600""","=""1.6e+07""",D,"=""0.64530031""","=""12.1043831""","=""3d7.(4F).4s""","=""a 5F""","=""1""","=""3d7.(4F).5p""","=""5G*""","=""2""",3,5,,"=""T6999""","=""L4687c119""",
"=""108.2422""","=""0.0009""","=""108.241950""","=""0.000004""","=""3600""","=""1.3e+07""",D,"=""0.61372947""","=""12.0680869""","=""3d7.(4F).4s""","=""a 5F""","=""2""","=""3d7.(4F).5p""","=""5G*""","=""3""",5,7,,"=""T6999""","=""L4687c119""",
"=""108.3178""","=""0.0009""","=""108.317106""","=""0.000005""","=""3700""","=""9.e+06""",D,"=""0.56546577""","=""12.01187555""","=""3d7.(4F).4s""","=""a 5F""","=""3""","=""3d7.(4F).5p""","=""5G*""","=""4""",7,9,,"=""T6999""","=""L4687c119""",
"=""108.4520""","=""0.0009""","=""108.450923""","=""0.000006""","=""3700""","=""5.e+06""",E,"=""0.49953085""","=""11.93181697""","=""3d7.(4F).4s""","=""a 5F""","=""4""","=""3d7.(4F).5p""","=""3G*""","=""5""",9,11,,"=""T6999""","=""L4687c119""",
"=""108.7586""","=""0.0009""","=""108.757607""","=""0.000005""","=""3700""","=""1.2e+07""",D,"=""0.49953085""","=""11.8995792""","=""3d7.(4F).4s""","=""a 5F""","=""4""","=""3d7.(4F).5p""","=""5F*""","=""4""",9,9,,"=""T6999""","=""L4687c119""",
"=""108.7710""","=""0.0009""","=""108.772131""","=""0.000005""","=""2200""","=""1.4e+07""",D,"=""0.56546577""","=""11.9639920""","=""3d7.(4F).4s""","=""a 5F""","=""3""","=""3d7.(4F).5p""","=""5F*""","=""3""",7,7,,"=""T6999""","=""L4687c119""",
"=""109.0690""","=""0.0009""","=""109.068309""","=""0.000007""","=""2300""","=""6.e+07""",D,"=""0.41540831""","=""11.7829815""","=""3d7.(4F).4s""","=""a 5F""","=""5""","=""3d7.(4F).5p""","=""5D*""","=""4""",11,9,,"=""T6999""","=""L4687c119""",
"=""109.1066""","=""0.0009""","=""109.105538""","=""0.000007""","=""2300""","=""6.e+07""",D,"=""0.49953085""","=""11.8632252""","=""3d7.(4F).4s""","=""a 5F""","=""4""","=""3d7.(4F).5p""","=""5D*""","=""3""",9,7,,"=""T6999""","=""L4687c119""",
"=""109.1167""","=""0.0012""","=""109.116638""","=""0.000004""","=""530""","=""6.e+07""",D,"=""0.56546577""","=""11.9280041""","=""3d7.(4F).4s""","=""a 5F""","=""3""","=""3d7.(4F).5p""","=""5D*""","=""2""",7,5,,"=""T6999""","=""L4687c119""",
"=""109.5833""","=""0.0012""","=""109.582101""","=""0.000005""","=""540""","=""2.2e+07""",D,"=""0.61372947""","=""11.9280041""","=""3d7.(4F).4s""","=""a 5F""","=""2""","=""3d7.(4F).5p""","=""5D*""","=""2""",5,5,,"=""T6999""","=""L4687c119""",
"=""109.8802""","=""0.0012""","=""109.881456""","=""0.000010""","=""540""","=""8.e+06""",E,"=""0.49953085""","=""11.7829815""","=""3d7.(4F).4s""","=""a 5F""","=""4""","=""3d7.(4F).5p""","=""5D*""","=""4""",9,9,,"=""T6999""","=""L4687c119""",
"=""113.0378""","=""0.0012""","=""113.038154""","=""0.000005""","=""850""","=""""",,"=""1.21663958""","=""12.1849891""","=""3d7.(4F).4s""","=""b 3F""","=""4""","=""3d7.(4F).5p""","=""3G*""","=""3""",9,7,,"=""""","=""L4687c119""",
"=""114.7728""","=""0.0009""","=""114.771993""","=""0.000004""","=""4300""","=""4.e+06""",E,"=""1.21663958""","=""12.01929228""","=""3d7.(4F).4s""","=""b 3F""","=""4""","=""3d7.(4F).5p""","=""5G*""","=""5""",9,11,,"=""T6999""","=""L4687c119""",
"=""114.8518""","=""0.0009""","=""114.850846""","=""0.000011""","=""8600""","=""""",,"=""1.21663958""","=""12.01187555""","=""3d7.(4F).4s""","=""b 3F""","=""4""","=""3d7.(4F).5p""","=""5G*""","=""4""",9,9,,"=""""","=""L4687c119""",
"=""114.9464""","=""0.0009""","=""114.946856""","=""0.000004""","=""4300""","=""6.e+06""",E,"=""1.32766384""","=""12.1138831""","=""3d7.(4F).4s""","=""b 3F""","=""3""","=""3d7.(4F).5p""","=""3G*""","=""4""",7,9,,"=""T6999""","=""L4687c119""",
"=""114.9996""","=""0.0009""","=""114.999758""","=""0.000004""","=""1700""","=""7.e+06""",E,"=""1.40373174""","=""12.1849891""","=""3d7.(4F).4s""","=""b 3F""","=""2""","=""3d7.(4F).5p""","=""3G*""","=""3""",5,7,,"=""T6999""","=""L4687c119""",
"=""115.4118""","=""0.0012""","=""115.412354""","=""0.000005""","=""610""","=""""",,"=""1.40373174""","=""12.1464464""","=""3d7.(4F).4s""","=""b 3F""","=""2""","=""3d7.(4F).5p""","=""3F*""","=""3""",5,7,,"=""""","=""L4687c119""",
"=""115.7088""","=""0.0009""","=""115.708956""","=""0.000009""","=""4300""","=""4.e+06""",E,"=""1.21663958""","=""11.93181697""","=""3d7.(4F).4s""","=""b 3F""","=""4""","=""3d7.(4F).5p""","=""3G*""","=""5""",9,11,,"=""T6999""","=""L4687c119""",
"=""116.0437""","=""0.0012""","=""116.044311""","=""0.000009""","=""870""","=""1.7e+06""",E,"=""1.32766384""","=""12.01187555""","=""3d7.(4F).4s""","=""b 3F""","=""3""","=""3d7.(4F).5p""","=""5G*""","=""4""",7,9,,"=""T6999""","=""L4687c119""",
"=""116.2600""","=""0.0012""","=""116.260380""","=""0.000005""","=""610""","=""""",,"=""1.40373174""","=""12.0680869""","=""3d7.(4F).4s""","=""b 3F""","=""2""","=""3d7.(4F).5p""","=""5G*""","=""3""",5,7,,"=""""","=""L4687c119""",
