obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""7.82566""","=""0.00004""","=""""","=""1.397e+11""",AA,"=""(915.32141)""","=""(1073.7544)""","=""1s.2s""","=""1S""","=""0""","=""1s.3p""","=""1P*""","=""1""",1,3,,"=""T7543""","=""""",
"=""""","=""7.83321""","=""0.00004""","=""""","=""4.32e+11""",AA,"=""(914.995993)""","=""(1073.2761)""","=""1s.2p""","=""3P*""","=""2""","=""1s.3d""","=""3D""","=""3""",5,7,,"=""T7543LS""","=""""",
"=""""","=""7.83416""","=""0.00004""","=""""","=""1.080e+11""",AA,"=""(914.995993)""","=""(1073.2570)""","=""1s.2p""","=""3P*""","=""2""","=""1s.3d""","=""3D""","=""2""",5,5,,"=""T7543LS""","=""""",
"=""""","=""7.83430""","=""0.00004""","=""""","=""1.200e+10""",AA,"=""(914.995993)""","=""(1073.2542)""","=""1s.2p""","=""3P*""","=""2""","=""1s.3d""","=""3D""","=""1""",5,3,,"=""T7543LS""","=""""",
"=""""","=""7.89653""","=""0.00007""","=""""","=""2.442e+07""",AA,"=""(914.802870)""","=""(1071.8138)""","=""1s.2p""","=""3P*""","=""1""","=""1s.3s""","=""1S""","=""0""",3,1,,"=""T7543""","=""""",
"=""""","=""7.92506""","=""0.00004""","=""""","=""9.90e+07""",AA,"=""(915.32141)""","=""(1071.7672)""","=""1s.2s""","=""1S""","=""0""","=""1s.3p""","=""3P*""","=""1""",1,3,,"=""T7543""","=""""",
"=""""","=""8.03342""","=""0.00008""","=""""","=""6.40e+09""",AA,"=""(914.765595)""","=""(1069.1011)""","=""1s.2p""","=""3P*""","=""0""","=""1s.3s""","=""3S""","=""1""",1,3,,"=""T7543LS""","=""""",
"=""""","=""8.03536""","=""0.00008""","=""""","=""1.918e+10""",AA,"=""(914.802870)""","=""(1069.1011)""","=""1s.2p""","=""3P*""","=""1""","=""1s.3s""","=""3S""","=""1""",3,3,,"=""T7543LS""","=""""",
"=""""","=""8.04543""","=""0.00008""","=""""","=""3.18e+10""",AA,"=""(914.995993)""","=""(1069.1011)""","=""1s.2p""","=""3P*""","=""2""","=""1s.3s""","=""3S""","=""1""",5,3,,"=""T7543LS""","=""""",
"=""""","=""8.19230""","=""0.00004""","=""""","=""4.02e+11""",AA,"=""(922.000555)""","=""(1073.3429)""","=""1s.2p""","=""1P*""","=""1""","=""1s.3d""","=""1D""","=""2""",3,5,,"=""T7543""","=""""",
"=""""","=""8.27592""","=""0.00008""","=""""","=""5.23e+10""",AA,"=""(922.000555)""","=""(1071.8138)""","=""1s.2p""","=""1P*""","=""1""","=""1s.3s""","=""1S""","=""0""",3,1,,"=""T7543""","=""""",
"=""""","=""12.92787""","=""0.00022""","=""""","=""6.16e+09""",AA,"=""(1069.1011)""","=""(1165.0057)""","=""1s.3s""","=""3S""","=""1""","=""1s.6p""","=""3P*""","=""2""",3,5,,"=""T7543LS""","=""""",
"=""""","=""12.92882""","=""0.00022""","=""""","=""6.16e+09""",AA,"=""(1069.1011)""","=""(1164.9986)""","=""1s.3s""","=""3S""","=""1""","=""1s.6p""","=""3P*""","=""1""",3,3,,"=""T7543LS""","=""""",
"=""""","=""12.92905""","=""0.00022""","=""""","=""6.16e+09""",AA,"=""(1069.1011)""","=""(1164.9970)""","=""1s.3s""","=""3S""","=""1""","=""1s.6p""","=""3P*""","=""0""",3,1,,"=""T7543LS""","=""""",
