obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""72.681+""","=""""","=""2.77e-01""",A,"=""185.0459""","=""202.1045""","=""2s2.2p5.3p""","=""3P""","=""2""","=""2s2.2p5.3d""","=""3F*""","=""4""",5,9,M2,"=""T7663c84""","=""""",
"=""""","=""73.124+""","=""""","=""3.40e+07""",C+,"=""184.4908""","=""201.4462""","=""2s2.2p5.3p""","=""3D""","=""1""","=""2s2.2p5.3d""","=""3P*""","=""1""",3,3,,"=""T7663c84""","=""""",
"=""""","=""73.384+""","=""""","=""1.35e+06""",C,"=""185.8607""","=""202.7559""","=""2s2.2p5.3p""","=""1D""","=""2""","=""2s2.2p5.3d""","=""3F*""","=""2""",5,5,,"=""T7663c84""","=""""",
"=""""","=""73.744+""","=""""","=""3.01e+08""",C+,"=""184.4908""","=""201.3036""","=""2s2.2p5.3p""","=""3D""","=""1""","=""2s2.2p5.3d""","=""3P*""","=""0""",3,1,,"=""T7663c84""","=""""",
"=""74.204""","=""74.204""","=""200""","=""9.85e+08""",B+,"=""185.0459""","=""201.755""","=""2s2.2p5.3p""","=""3P""","=""2""","=""2s2.2p5.3d""","=""3P*""","=""2""",5,5,,"=""T7663c84""","=""L5875""",
"=""""","=""75.233+""","=""""","=""1.45e+06""",C,"=""185.8607""","=""202.3408""","=""2s2.2p5.3p""","=""1D""","=""2""","=""2s2.2p5.3d""","=""3F*""","=""3""",5,7,,"=""T7663c84""","=""""",
"=""""","=""75.599+""","=""""","=""3.84e+08""",B+,"=""185.0459""","=""201.4462""","=""2s2.2p5.3p""","=""3P""","=""2""","=""2s2.2p5.3d""","=""3P*""","=""1""",5,3,,"=""T7663c84""","=""""",
"=""""","=""76.10+""","=""""","=""8.88e+07""",C+,"=""185.4616""","=""201.755""","=""2s2.2p5.3p""","=""1P""","=""1""","=""2s2.2p5.3d""","=""3P*""","=""2""",3,5,,"=""T7663c84""","=""""",
"=""""","=""77.565+""","=""""","=""5.69e+07""",C+,"=""185.4616""","=""201.4462""","=""2s2.2p5.3p""","=""1P""","=""1""","=""2s2.2p5.3d""","=""3P*""","=""1""",3,3,,"=""T7663c84""","=""""",
"=""""","=""77.820+""","=""""","=""4.25e+08""",B+,"=""170.0795""","=""186.0118""","=""2s2.2p5.3s""","=""3P*""","=""2""","=""2s2.2p5.3p""","=""3P""","=""1""",5,3,,"=""T7663c84""","=""""",
